name1,name2,Name3
Daria Saville,Saville D.,Daria Saville
Cristina Bucsa,Bucsa C.,Cristina Bucsa
Kamilla Rakhimova,Rakhimova K.,Kamilla Rakhimova
Ajla Tomljanovic,Tomljanovic A.,Ajla Tomljanovic
Sara Errani,Errani S.,Sara Errani
Petra Martic,Martic P.,Petra Martic
Shelby Rogers,Rogers S.,Shelby Rogers
Anna Blinkova,Blinkova A.,Anna Blinkova
Maria Lourdes Carle,Carle M.,Maria Lourdes Carle
Nao Hibino,Hibino N.,Nao Hibino
Renata Zarazua,Zarazua R.,Renata Zarazua
Tamara Zidansek,Zidansek T.,Tamara Zidansek
Lucrezia Stefanini,Stefanini L.,Lucrezia Stefanini
Moyuka Uchijima,Uchijima M.,Moyuka Uchijima
Marina Stakusic,Stakusic M.,Marina Stakusic
Maria Timofeeva,Timofeeva M.,Maria Timofeeva
Shuai Zhang,Zhang S.,Shuai Zhang
Martina Trevisan,Trevisan M.,Martina Trevisan
Mai Hontama,Hontama M.,Mai Hontama
Oceane Dodin,Dodin O.,Oceane Dodin
Julia Riera,Riera J.,Julia Riera
Rebeka Masarova,Masarova R.,Rebeka Masarova
Nadia Podoroska,Podoroska N.,Nadia Podoroska
Chloe Paquet,Paquet C.,Chloe Paquet
Ella Seidel,Seidel E.,Ella Seidel
Anna Bondar,Bondar A.,Anna Bondar
Jessika Ponchet,Ponchet J.,Jessika Ponchet
Tatjana Maria,Maria T.,Tatjana Maria
Linda Fruhvirtova,Fruhvirtova L.,Linda Fruhvirtova
Zhuoxuan Bai,Bai Z.,Zhuoxuan Bai
Alycia Parks,Parks A.,Alycia Parks
Emiliana Arango,Arango E.,Emiliana Arango
Tamara Korpatsch,Korpatsch T.,Tamara Korpatsch
Jana Fett,Fett J.,Jana Fett
Arina Rodionova,Rodionova A.,Arina Rodionova
Emina Bektas,Bektas E.,Emina Bektas
Laura Pigossi,Pigossi L.,Laura Pigossi
Nuria Parrizas Diaz ,Parrizas-Diaz N.,Nuria Parrizas Diaz 
Julia Grabher,Grabher J.,Julia Grabher
Caty Mcnally,McNally C.,Caty Mcnally
Danka Kovinic,Kovinic D.,Danka Kovinic
Rebecca Marino,Marino R.,Rebecca Marino
Camilo Ugo Carabelli,Ugo Carabelli C.,Camilo Ugo Carabelli
Kasidit Samrej,Samrej K.,Kasidit Samrej
Tristan Boyer,Boyer T.,Tristan Boyer
Emerson Jones,Jones E.,Emerson Jones
Kamil Majchrzak,Majchrzak K.,Kamil Majchrzak
Iva Jovic,Jovic I.,Iva Jovic
Mitchell Krueger,Krueger M.,Mitchell Krueger
Jenson Brooksby,Brooksby J.,Jenson Brooksby
Jodie Burrage,Burrage J.,Jodie Burrage
Jacob Fearnley,Fearnly J.,Jacob Fearnley
Francesco Passaro,Passaro F.,Francesco Passaro
Hady Habib,Habib H.,Hady Habib
Talia Gibson,Gibson T.,Talia Gibson
Jaime Faria,Faria J.,Jaime Faria
Thiago Seyboth Wild,Seyboth Wild T.,
Leylah Fernandez,Fernandez B.,
